"seller_id","seller_zip_code_prefix","seller_state","seller_city","total_sales","avg_ratings"
"391fc663-1aeb-cf30-0480-4e51b40bcf1e",14940,"SP","ibitinga","39951.95","3.9533762057877814"
"834f3294-fba9-f932-f56e-dc879193f925",14808,"SP","araraquara","39907.5","4.5454545454545455"
"712e6ed8-aa4a-a1fa-65da-b41fed5737e4",89560,"SC","videira","39815.0","3.4597701149425287"
"634964b1-7796-e643-04ca-df1ad3050fb7",21840,"RJ","rio de janeiro","39465.1","3.8584615384615385"
"7142540d-d4c9-1e22-37ac-b7e911c4eba2",16301,"SP","penapolis","37373.56","4.0421686746987952"
"ea8482cd-71df-3c19-69d7-b9473ff13abc",4160,"SP","sao paulo","37177.52","3.9532163742690058"
"c3867b46-66c7-d768-6762-7c2f7fb22e21",14580,"SP","guara","37153.4","3.8532818532818533"
"7178f9f4-dd81-dcef-02f6-2acdf8151e01",89560,"SC","videira","37070.40","4.0322580645161290"
"c70c1b0d-8ca8-6052-f45a-432a38b73958",13186,"SP","hortolandia","36537.37","4.3014925373134328"
"59417c56-835d-d8e2-e72f-91f809cd4092",13480,"SP","limeira","36459.0","4.2777777777777778"
"06a2c3af-7b3a-ee5d-6917-1b0e14f0ee87",65072,"MA","sao luis","36408.95","4.0025062656641604"
"7299e27e-d73d-2ad9-86de-7f7c77d919fa",38440,"MG","araguari","34725.43","4.4210526315789474"
"e9bc59e7-b60f-c306-3eb2-290deda4cced",87083,"PR","maringa","34343.06","3.9442379182156134"
"dbc22125-167c-298e-f99d-a25668e1011f",37564,"MG","borda da mata","33776.78","4.2261072261072261"
"9c0e69c7-bf26-1967-5bba-df47b43f655a",12230,"SP","sao jose dos campos","33702.78","3.9951923076923077"
"76d5af76-d027-1110-f9af-36c92573f765",3194,"SP","sao paulo","33461.60","4.0822784810126582"
"1835b56c-e799-e6a4-dc4e-ddc053f04066",14940,"SP","ibitinga","33344.21","3.5938628158844765"
"5c243662-ce92-d845-73bf-aff24c3e3700",3702,"SP","sao paulo","32862.02","4.1300000000000000"
"2528513d-d952-19a6-013d-4d05176e391a",6060,"SP","osasco","32689.1","3.9451219512195122"
"855668e0-971d-4dfd-7bef-1b6a4133b41b",13257,"SP","itatiba","32208.16","3.7253086419753086"
"70eea00b-476a-3148-17ce-fde4aad4f89a",13250,"SP","itatiba","31994.65","4.3539823008849558"
"7681ef14-2fd2-c190-48da-7430856b5588",7074,"SP","guarulhos","31941.81","4.1315789473684211"
"e59aa562-b9f8-076d-d550-fcddf0e73491",82810,"PR","curitiba","31574.3","4.2500000000000000"
"88460e8e-bdec-bfec-b5f9-601833981930",87030,"PR","maringa","31546.55","3.3516129032258065"
"0241d4d5-d36f-10f8-0c64-4447315af0bd",80330,"PR","curitiba","31397.7","4.2782258064516129"
"87142160-b413-53c4-e5fc-a2360caf6f92",90230,"RS","porto alegre","31095.98","4.3665689149560117"
"70a12e78-e608-ac31-179a-ea7f8422044b",12327,"SP","jacarei","30858.53","3.7699386503067485"
"53e4c6e0-f431-2d4d-2107-a8c9cddf45cd",13920,"SP","pedreira","30148.95","4.0458891013384321"
"d23019c8-4ffa-e2d5-ef22-70367b8605fc",86073,"PR","londrina","29205.1","4.4102564102564103"
"900ba814-c251-a692-506d-7834c1218441",13328,"SP","salto","29099.69","4.1882352941176471"
"1554a685-3018-2680-ad5c-8b042c3ab563",37580,"MG","monte siao","29052.53","4.2481481481481481"
"0b90b6df-587e-b836-08a6-4ea8b390cf07",87025,"PR","maringa","28592.32","4.0000000000000000"
"7e1fb0a3-ebfb-01ff-b3a7-dae98bf3238d",14403,"SP","franca","27349.53","4.1337209302325581"
"59b22a78-efb7-9a47-9797-9612b885db36",38414,"MG","uberlandia","27184.5","3.9696969696969697"
"d1c281d3-ae14-9232-351c-d8c8cc885f0d",14940,"SP","ibitinga","26942.60","3.8137651821862348"
"b32be169-5eb7-ec5f-10f7-2d9610a12527",95012,"RS","caxias do sul","26874.0","4.0888888888888889"
"12b9676b-00f6-0f3b-700e-83af21824c0e",95780,"RS","montenegro","26774.0","4.5111111111111111"
"a3a38f4a-ffed-601e-b87a-97788c949667",89204,"SC","joinville","26533.32","4.3884615384615385"
"de23c3b9-8a88-8882-89c6-f5cc1209054a",5530,"SP","sao paulo","26399.67","4.2817679558011050"
"9f505651-f4a6-abe9-01a5-6cdc21508025",4102,"SP","sao paulo","26361.82","4.2833723653395785"
"16090f2c-a825-584b-5a14-7ab24aa30c86",12940,"SP","atibaia","25716.44","4.0442260442260442"
"a416b6a8-46a1-1724-3930-25641d4edd5e",3702,"SP","sao paulo","25670.72","4.1602209944751381"
"b94cc9f1-0ddc-85e4-ba73-a6f7974e7101",27930,"RJ","macae","25346.1","4.2972972972972973"
"c003204e-1ab0-16df-a150-abc119207b24",7790,"SP","cajamar","25108.09","4.4228855721393035"
"001cca7a-e9ae-17fb-1cae-d9dfb1094831",29156,"ES","cariacica","25080.03","3.9025423728813559"
"1900267e-848c-eeba-8fa3-2d80c1a5f5a8",14940,"SP","ibitinga","24982.53","3.8549618320610687"
"1c68394e-931a-64f9-0ea2-36c5ea590300",87114,"PR","sarandi","24832.75","3.9438202247191011"
"b1b39487-01c5-c724-4549-5bd161b83a4c",3390,"SP","sao paulo","24699.19","1.7222222222222222"
"f62d7bb4-a613-ec75-8a03-342d46b580b2",36570,"MG","vicosa","24665.0","4.3750000000000000"
"dc4a0fc8-96dc-34b0-d5bf-ec8438291c80",14940,"SP","ibitinga","24180.77","3.7441860465116279"
"b37c4c02-bda3-161a-7546-a4e6d222d5b2",3667,"SP","sao paulo","24075.0","1.4000000000000000"
"710e3548-e02b-c1d2-831d-fc4f1b5b14d4",86600,"PR","rolandia","23979.11","3.3971631205673759"
"2b3e4a2a-3ea8-e019-38ca-bda2a3e5cc79",4733,"SP","sao paulo","23629.15","4.3888888888888889"
"1a3df491-d1c4-f158-9fc2-b934ada68bf2",89224,"SC","joinville","23302.7","4.1611111111111111"
"40db9e9a-a57f-7bb1-51bc-da6b0f9bdbb7",52010,"PE","recife","23168.0","2.3636363636363636"
"612170e3-4b97-004b-3ba3-7eae81836b4c",93542,"RS","novo hamburgo","23065.02","4.4272727272727273"
"897060da-8b9a-21f6-5530-4d50fd935913",14092,"SP","ribeirao preto","23023.92","3.3953488372093023"
"8444e55c-1f13-cd5c-1798-51e5ca5ebd00",37584,"MG","congonhal","22873.21","3.0733944954128440"
"7b0df942-f464-35ba-bab0-5d49b744b2c4",12924,"SP","braganca paulista","22600.63","4.3870967741935484"
"7ad32824-caee-8208-7b3e-2e5f33b1bf32",14940,"SP","ibitinga","22505.1","3.7679558011049724"
"744dac40-8745-240a-2c25-28fb1b6028f3",83408,"PR","colombo","22490.6","4.5476190476190476"
"06e5eefc-71ec-47ae-763c-5c6f8db7064f",91350,"RS","porto alegre","22188.56","3.9032258064516129"
"f45122a9-ab94-eb4f-3f89-53578bc0c560",13419,"SP","piracicaba","22078.29","3.9100000000000000"
"05ff92fe-db5b-e479-20fe-a08e501238b9",98803,"RS","santo angelo","21992.78","4.1718750000000000"
"ff69aa92-bb6b-1bf9-b8b7-a51c2ed9cf8b",8140,"SP","sao paulo","21940.8","3.6500000000000000"
"8f2ce03f-928b-567e-3d56-181ae20ae952",5141,"SP","pirituba","21712.9","4.0632183908045977"
"59fb871b-f6f4-522a-87ba-567b42dafecf",3655,"SP","sao paulo","21708.57","4.2187500000000000"
"d2374cbc-bb3c-a4ab-1086-534108cc3ab7",14940,"SP","ibitinga","21223.92","3.6363636363636364"
"48162d54-8f5b-1b11-b9d2-9d1e01f75a61",13403,"SP","piracicaba","20510.14","3.7582417582417582"
"729f0699-3dac-8e86-0d4f-02d7088ca48a",13481,"SP","limeira","20485.08","4.2894736842105263"
"00ee6830-8b45-bc5e-2660-cd833c3f81cc",3333,"SP","sao paulo","20260.0","4.3313953488372093"
"bfd27a96-6d91-cfaa-fdb2-5d076585f0da",13930,"SP","serra negra","19921.0","4.2844827586206897"
"004c9cd9-d87a-3c30-c522-c48c4fc07416",14940,"SP","ibitinga","19712.71","4.1329479768786127"
"d650b663-c3b5-f6fb-392b-6326366efa9a",6713,"SP","cotia","19242.9","4.2000000000000000"
"821fb029-fc6e-495c-a4f0-8a35d51e53a5",2030,"SP","sao paulo","19187.42","3.4285714285714286"
"f457c460-70d0-2cad-d8a6-8551231220dd",87047,"PR","maringa","19093.0","3.7875000000000000"
"2a5b78b4-1cd0-5bae-ac8d-f54c6606b92c",35570,"MG","formiga","19025.36","4.0833333333333333"
"dc317f34-1ab0-e22f-39ac-bd9dbf9b4a1f",94910,"RS","cachoeirinha","18988.4","4.1206896551724138"
"96493fab-2fbb-13a1-4d0c-0e8772eef5c3",5537,"SP","sao paulo","18969.0","4.0317460317460317"
"44073f8b-7e41-514d-e3b7-815dd0237f4f",71070,"DF","brasilia","18729.64","3.7565789473684211"
"cd68562d-3f44-870c-0892-2d380acae552",14050,"SP","ribeirao preto","18569.7","3.8396946564885496"
"0dd18406-1fb0-eaa7-ca37-932c68ab91c5",7031,"SP","guarulhos","18446.92","3.9531250000000000"
"527801b5-52d0-077f-fd17-0872eb49683b",17400,"SP","garca","17942.8","4.4835164835164835"
"a888faf2-d1ba-ecec-a6ba-f9c3d603ee1f",87502,"PR","umuarama","17765.8","4.0545454545454545"
"9de4643a-8dbd-e634-fe55-621059d92273",89225,"SC","joinville","17560.34","4.5308641975308642"
"8b321bb6-6939-2f51-63d0-4c59e235e066",1212,"SP","sao paulo","17535.69","3.9950690335305720"
"c72de06d-7274-8d1a-0dfb-2125be43ba63",46430,"BA","guanambi","17522.0","4.4545454545454545"
"165fc07b-eebd-cb61-90fb-a8a06db2a449",87015,"PR","maringa","17481.4","3.6875000000000000"
"0c8380b6-2e38-e8a1-e6ad-beba7eb9688c",37410,"MG","tres coracoes","17348.79","4.0409090909090909"
"1e8b33f1-8b4f-7598-d87f-5cbee2282cc2",2066,"SP","sao paulo","17309.06","4.2826086956521739"
"94144541-854e-298c-2d97-6cb893b81343",94451,"RS","viamao","17286.28","4.2894736842105263"
"54a1852d-1b8f-1031-2c55-e906355666ee",13456,"SP","santa barbara d'oeste","17226.44","4.3431372549019608"
"abe42c5d-0369-5b42-57b5-c6cbf4e6784e",21235,"RJ","rio de janeiro","17159.0","3.9183673469387755"
"41b39e28-db00-5d97-31d9-d485a83b4c38",9220,"SP","santo andre","17112.55","4.1260504201680672"
"4a3ccda3-8b21-2970-5f3f-b522db62ca31",17504,"SP","marilia","17062.59","3.7341772151898734"
"76d64c4a-ca3a-7baf-218b-f93ef7fa768d",80215,"PR","curitiba","16911.8","4.1285714285714286"
"c3acdfac-4e3e-97ff-8752-9454fbc03642",5705,"SP","sao paulo","16788.0","4.2500000000000000"
"86ccac0b-8350-3733-2a59-6a33b6949ee1",89041,"SC","blumenau","16619.93","4.0047393364928910"
"8ae52024-7981-aa06-bc94-abddf5f46d34",88370,"SC","navegantes","16320.99","4.4461538461538462"
"7aa4334b-e125-fcdd-2ba6-4b3180029f14",18500,"SP","laranjal paulista","16234.81","4.0546218487394958"
"ef0ace09-169a-c090-589d-85746e3e036f",24451,"RJ","sao goncalo","16223.3","4.3404255319148936"
"fa40cc5b-9345-74b6-2717-c68f3d678b6d",2310,"SP","sao paulo","16055.87","4.4306784660766962"
"1f1bb1f0-8598-8350-5541-bdd6606193e5",2124,"SP","sao paulo","16040.84","4.3103448275862069"
"0adac9fb-d9a2-b63c-ccaa-c4f8756c1ca8",13290,"SP","louveira","15960.95","3.8873239436619718"
"4b9750c8-ad28-220f-e670-2d4ecb7c898f",13484,"SP","limeira","15915.30","4.3513513513513514"
"2a84855f-d20a-f891-be03-bc5924d2b453",30111,"MG","belo horizonte","15819.1","4.2335329341317365"
"229c3efb-fb0e-a205-8de4-ccdfbc3d784a",30190,"MG","belo horizonte","15744.0","3.6438356164383562"
"f9244d45-189d-3a36-0549-9abddeade7d5",3029,"SP","sao paulo","15731.43","4.2857142857142857"
"d921b68b-f747-894b-e13a-97ae52b0f386",35570,"MG","formiga","15645.8","4.5584415584415584"
"6061155a-ddc1-e54b-4cfb-51c1c2a32ad8",13043,"SP","campinas","15633.4","4.7142857142857143"
"c3384751-5fa6-305c-e6fe-b1e818569f13",88359,"SC","brusque","15519.85","3.7187500000000000"
"85d9eb9d-dc5d-00ca-9336-a2219c97bb13",31255,"MG","belo horizonte","15415.24","4.1724137931034483"
"213b25e6-f546-6193-9f11-710a6fddb871",13321,"SP","salto","15379.50","3.7916666666666667"
"e5a38146-df06-2eda-f55c-38afa99e42dc",1233,"SP","sao paulo","15360.07","3.9523809523809524"
"c847e075-3018-70dd-144a-116762eaff9a",38022,"MG","uberaba","15348.7","4.1666666666666667"
"ce248b21-cb2a-dc36-282e-de306b7660e5",89251,"SC","jaragua do sul","15230.06","4.2089552238805970"
"79ebd9a6-1bac-3eaf-8828-05ed4ecfa12a",85802,"PR","cascavel","15092.79","4.0068965517241379"
"75d34ebb-1bd0-bd7d-de40-dd507b8169c3",41820,"BA","salvador","15048.28","3.8194444444444444"
"e2a1ac9b-f33e-5549-a2a4-f834e70df2f8",1210,"SP","sao paulo","14999.45","4.8000000000000000"
"01fdefa7-697d-26ad-920e-9e0346d4bd1b",86050,"PR","londrina","14921.43","4.3461538461538462"
"1b4c3a6f-5306-8f0b-6944-d2d005c9fc89",88730,"SC","sao ludgero","14760.30","4.1111111111111111"
"a5cba26a-62b8-b4d0-145b-68b841e62e7f",87303,"PR","campo mourao","14737.84","4.5272727272727273"
"87b740da-f17b-5d1b-e335-a64164ec6842",8615,"SP","suzano","14699.87","3.3076923076923077"
"4c2b2301-73bb-36f9-b240-f2b8ac11786e",3933,"SP","sao paulo","14592.27","3.7609329446064140"
